rhos_412,rhos_469,rhos_555,rhos_645,rhos_859,rhos_1240,rhos_2130,rhot_412,rhot_469,rhot_555,rhot_645,rhot_859,rhot_1240,rhot_2130,label
0.052152324,0.052924864,0.078956269,0.059047472,0.313017517,0.221179157,0.055592567,0.145012528,0.109764732,0.098670781,0.070266515,0.314117342,0.221699685,0.055710908,sargasso
0.071715146,0.07867194,0.105367005,0.09423589,0.312823981,0.239947498,0.055137292,0.159695879,0.131188303,0.121567607,0.102363482,0.313924432,0.240425318,0.0552558,sargasso
0.093492866,0.10366448,0.130337417,0.125553533,0.298490912,0.258938372,0.109737001,0.176204935,0.152148858,0.14330928,0.131019309,0.299731821,0.259375602,0.109833814,sargasso
0.116701886,0.132209212,0.161379695,0.137303367,0.256019771,0.209399059,0.107257076,0.194005817,0.176303133,0.170476034,0.141800433,0.257692575,0.20994772,0.10735485,sargasso
0.180689469,0.212102711,0.230555534,0.184178293,0.181868449,0.180037439,0.167549506,0.241338328,0.241300106,0.229110837,0.184353724,0.184205711,0.175584272,0.141222164,sargasso
0.198726386,0.239959747,0.244443953,0.165482953,0.162698612,0.164480999,0.15228337,0.254202455,0.263786286,0.240969688,0.167446896,0.165396273,0.160523415,0.128382474,sargasso
0.198726386,0.239959747,0.244443953,0.165482953,0.162698612,0.164480999,0.15228337,0.254202455,0.263786286,0.240969688,0.167446896,0.165396273,0.160523415,0.128382474,sargasso
0.145068794,0.169581518,0.213087574,0.181584254,0.18303977,0.188654929,0.13669683,0.216014653,0.208241642,0.216041714,0.182523653,0.185580149,0.189255968,0.136783913,sargasso
0.136557832,0.161865592,0.205120787,0.173587158,0.168291375,0.154429734,0.120287903,0.209394395,0.201619804,0.208991408,0.17515333,0.171028554,0.155122265,0.120380901,sargasso
0.147212878,0.175906926,0.223769039,0.188709438,0.172622785,0.160727993,0.126777232,0.217729136,0.21369791,0.225498244,0.189088121,0.175303549,0.161403373,0.12686792,sargasso
0.159171313,0.186487645,0.233555555,0.203616127,0.194576964,0.168095484,0.132049158,0.226902798,0.222703189,0.234116763,0.202806711,0.196963936,0.168748885,0.132137716,sargasso
0.091873586,0.108438283,0.160206288,0.13461633,0.251314044,0.204306096,0.106458746,0.174870446,0.156100184,0.169386417,0.139303371,0.253022641,0.204864234,0.106556602,sargasso
0.055430196,0.055181056,0.078064486,0.067773677,0.319323838,0.297210127,0.082648665,0.147036985,0.11136622,0.097757295,0.078140378,0.320328951,0.297565907,0.082755327,sargasso
0.054393757,0.05396641,0.079176895,0.063834295,0.284308136,0.244974151,0.05433194,0.146275356,0.110368229,0.098723747,0.074553646,0.285643846,0.245433703,0.054450233,sargasso
0.053652097,0.053529438,0.075578906,0.054544527,0.332729846,0.290131539,0.059166338,0.145670325,0.109974124,0.095595434,0.066086322,0.333614379,0.290499479,0.059282534,sargasso
0.088717386,0.101355486,0.130888909,0.131427675,0.314704031,0.335426629,0.159892201,0.172023937,0.149850965,0.143594399,0.136291668,0.315742612,0.335716963,0.159970269,sargasso
0.333125681,0.326804161,0.321840584,0.315127552,0.386324137,0.358608067,0.126114294,0.366941422,0.345274389,0.312349141,0.305865467,0.386726111,0.358851254,0.126203433,sargasso
0.094451621,0.086974204,0.096870102,0.080815867,0.310050368,0.277973831,0.058844335,0.175442666,0.137209445,0.11363297,0.089813225,0.311007768,0.278339446,0.058959458,sargasso
0.0477845,0.040838998,0.058205843,0.038011126,0.343834192,0.302179575,0.045486219,0.140271112,0.0988793,0.08020211,0.050863177,0.344442725,0.302490324,0.045606904,sargasso
0.044375189,0.041278232,0.057251971,0.049104437,0.237743258,0.269176215,0.076942086,0.137619346,0.099211134,0.079237916,0.060853727,0.239342868,0.269529164,0.077048972,sargasso
0.04742958,0.047177918,0.064830311,0.061374072,0.239433989,0.272921562,0.076366872,0.139841661,0.104026765,0.085717961,0.071964599,0.24101235,0.273266286,0.076473974,sargasso
0.044543721,0.044565305,0.063689351,0.062022544,0.242481023,0.277912378,0.10077706,0.137714535,0.101882853,0.084739506,0.072551623,0.244022027,0.278246343,0.100873955,sargasso
0.04211358,0.04051787,0.058007799,0.054771632,0.23809953,0.27562359,0.099014357,0.135931671,0.098572731,0.079874299,0.065980017,0.239692077,0.275961846,0.099111967,sargasso
0.036568783,0.03298049,0.051413354,0.038575333,0.287777603,0.282098293,0.066644765,0.131863445,0.092412621,0.074234992,0.051320519,0.288793355,0.282422602,0.06675604,sargasso
0.040334787,0.036101829,0.054742005,0.041253395,0.281288594,0.269113898,0.059295166,0.134634808,0.094969049,0.077083685,0.053744931,0.282375038,0.269466162,0.059409678,sargasso
0.053279459,0.051049944,0.069680348,0.061312273,0.256749749,0.267511338,0.079514176,0.144100711,0.107172467,0.089853294,0.071898006,0.258114159,0.26786676,0.079619855,sargasso
0.042370416,0.038826674,0.057586282,0.047614351,0.27677986,0.277380228,0.075456388,0.136089668,0.097171858,0.079502612,0.059493799,0.277913749,0.277714044,0.075563818,sargasso
0.03998005,0.036022831,0.053670354,0.040380787,0.274044156,0.261211842,0.057020448,0.134357229,0.094894692,0.076160558,0.052952167,0.275208563,0.261581302,0.057135951,sargasso
0.037296064,0.033001605,0.052228764,0.037150849,0.27360785,0.255962044,0.054464307,0.132411718,0.09244214,0.074934393,0.050034475,0.274776906,0.256343365,0.054580964,sargasso
0.035830032,0.031683497,0.050762035,0.036262613,0.282774508,0.264089108,0.054298848,0.131360829,0.091382191,0.073685765,0.049234316,0.283841431,0.26445213,0.054415628,sargasso
0.044725366,0.040296599,0.057677314,0.043840244,0.262633771,0.261324584,0.049474645,0.137879491,0.098414615,0.079596691,0.056087788,0.263928801,0.261693776,0.049593586,sargasso
0.044725366,0.040296599,0.057677314,0.043840244,0.262633771,0.261324584,0.049474645,0.137879491,0.098414615,0.079596691,0.056087788,0.263928801,0.261693776,0.049593586,sargasso
0.052950576,0.049507186,0.066570513,0.055412401,0.268736362,0.274608493,0.081130959,0.143892437,0.105932057,0.087193586,0.066555731,0.269957632,0.274947494,0.081236005,sargasso
0.05901397,0.055362083,0.071177751,0.057585243,0.270904988,0.273159683,0.066687852,0.148369744,0.110738195,0.091142111,0.068524756,0.272101581,0.273501903,0.066799112,sargasso
0.093236946,0.091313705,0.108089447,0.09062162,0.320286244,0.273754537,0.092403047,0.173825994,0.140408382,0.122866973,0.098494805,0.320957333,0.274095386,0.092503354,sargasso
0.086232863,0.084106617,0.103116736,0.088734157,0.322669625,0.31479007,0.107352763,0.16858533,0.134435222,0.118582562,0.096780047,0.323316664,0.315047354,0.107446939,sargasso
0.042285908,0.036361579,0.056587175,0.042380702,0.257078588,0.253250003,0.061416958,0.136065677,0.095186412,0.078655221,0.054762892,0.258434653,0.253636837,0.061530545,sargasso
0.04195914,0.038483255,0.060128558,0.042216182,0.242779344,0.202710256,0.03979012,0.135832161,0.09692318,0.081685424,0.054615088,0.244307354,0.20322369,0.039913427,sargasso
0.04195914,0.038483255,0.060128558,0.042216182,0.242779344,0.202710256,0.03979012,0.135832161,0.09692318,0.081685424,0.054615088,0.244307354,0.20322369,0.039913427,sargasso
0.036702394,0.033199016,0.054975491,0.03679147,0.255740821,0.210879177,0.033397436,0.132048711,0.092653692,0.077296764,0.049719889,0.257113248,0.211371243,0.033523802,sargasso
0.041643325,0.03828134,0.058823474,0.043026518,0.239636272,0.198628485,0.040648315,0.13566722,0.096802488,0.080586672,0.055358309,0.241203696,0.19915323,0.040771335,sargasso
0.045347508,0.042495031,0.062229063,0.045175191,0.229701728,0.187952012,0.041095495,0.138384387,0.100246429,0.083499826,0.057302147,0.231393278,0.188506156,0.041218314,sargasso
0.034656789,0.030467106,0.048253722,0.032520905,0.276903629,0.249314204,0.042592369,0.130537331,0.090417773,0.071548969,0.045857098,0.278028727,0.249709859,0.042714484,sargasso
